Age_client,Age_car,Driver2,Payment_annual,Client_seniority,Retention
85,0,0,1,18.603696099,1
82,20,0,1,7.9014373717,1
85,10,0,0,9.1416837782000009,1
78,8,0,1,9.1115674196,1
84,0,0,1,20.150581793,1
47,8,0,1,9.9739904175,1
76,11,0,1,5.7713894593,1
78,9,0,1,7.8384668036,1
82,0,0,1,31.627652293,1
82,0,0,1,12.295687885,1
72,8,0,1,6.8062970568,1
85,8,0,1,14.19028063,1
77,9,0,1,8.6570841889,1
75,14,0,0,8.2080766598,0
76,0,0,1,11.115674196,1
72,15,0,1,10.228610541,1
70,10,1,0,5.6536618754,1
83,11,0,1,7.5811088296,1
67,8,0,1,8.0164271047,1
64,0,0,1,13.798767967,0
59,0,0,1,14.751540041,0
67,0,0,1,12.610540726,1
70,11,0,0,10.308008214,1
84,7,0,1,5.6892539357,1
67,12,0,1,5.8069815195,1
81,17,0,1,5.8370978782,0
78,0,0,1,37.49486653,1
76,0,0,1,14.896646133,1
73,9,0,1,5.1526351814,0
74,5,0,1,8.4325804244,0
76,4,0,1,5.5359342916,1
71,8,0,0,6.5763175907,0
72,0,0,0,17.341546886,1
67,8,0,1,6.5379876797,1
62,2,0,1,14.395619439,0
71,14,1,0,12.843258042,1
70,0,0,1,10.12183436,1
59,16,0,0,5.5359342916,1
65,19,0,1,7.5154004107,1
68,11,0,0,9.6728268309,1
71,4,0,1,8.0164271047,0
64,6,0,0,6.5516769336,1
64,7,0,1,9.2265571526,1
64,9,0,1,8.3093771389,1
68,0,0,1,14.160164271,1
60,0,0,1,13.648186174,1
65,13,0,0,11.227926078,0
68,21,0,1,6.5051334702,1
64,0,1,1,10.12183436,1
64,13,1,1,10.108145106,1
61,11,0,1,7.6002737851,1
60,23,0,1,6.0041067762,1
64,0,0,0,13.456536619,1
62,15,0,0,6.4640657084,1
58,7,0,1,9.0896646133,1
85,20,1,1,7.0116358658,1
79,0,1,1,17.004791239,1
45,0,0,0,15.126625599,1
76,6,0,1,5.6783025325,1
78,0,0,0,12.971937029,1
74,0,0,1,16.156057495,0
83,17,1,1,6.5653661875,1
60,0,0,1,16.752908966,0
74,9,0,1,12.470910335,1
76,0,0,1,19.154004107,1
73,12,0,0,7.5701574264,0
70,4,0,1,6.006844627,1
71,0,0,0,16.462696783,1
69,4,0,1,6.4394250513,1
66,12,0,1,5.7221081451,0
68,16,0,1,5.1389459274,1
70,9,0,1,11.425051335,1
68,17,0,0,5.5852156057,1
70,16,0,1,14.46954141,1
65,0,0,1,16.421629021,0
52,8,0,1,6.4284736482,0
56,15,1,0,10.877481177,1
52,10,0,0,7.0390143737,1
55,6,0,0,6.250513347,1
50,0,0,1,22.527036277,1
52,10,1,0,11.175906913,0
49,13,1,0,6.1108829569,1
49,3,0,1,7.4250513347,0
48,12,0,0,11.712525667,0
50,10,0,0,10.696783025,1
49,14,0,1,7.780971937,1
46,13,0,1,7.9151266256,1
50,16,0,1,7.4496919918,1
75,19,0,1,8.3121149897,0
85,0,0,1,20.700889802,1
85,6,0,1,5.0978781656,1
77,0,0,1,14.450376454,1
83,16,0,1,6.5133470226,1
75,7,0,1,7.0362765229,1
84,2,0,1,5.2183436003,0
74,6,0,0,7.7590691307,0
73,0,0,1,14.937713895,0
79,8,0,0,10.559890486,1
77,0,0,1,18.798083504,0
73,3,0,1,11.446954141,0
74,8,0,1,7.6386036961,1
39,5,0,1,7.1978097194,1
76,21,1,1,19.353867214,1
74,11,0,1,8.7665982204,0
65,0,0,1,10.518822724,0
63,12,0,1,15.394934976,1
76,9,0,0,9.0896646133,1
80,0,0,1,12.320328542,1
74,9,0,1,8.900752909,1
75,12,0,0,7.5920602327,0
76,6,0,1,7.4195756331,1
81,0,0,1,16.654346338,0
69,11,0,1,6.302532512,0
69,12,0,1,5.5961670089,0
68,21,0,1,10.524298426,1
76,8,0,1,5.568788501,1
69,0,1,1,16.008213552,0
71,9,0,1,7.189596167,1
71,7,0,1,13.552361396,1
81,7,0,1,5.6043805613,1
73,16,0,1,10.603696099,1
75,11,0,1,9.4839151266,1
69,4,0,0,6.2696783025,0
63,6,1,1,8.514715948,1
66,0,0,1,9.8918548939,1
65,0,0,1,17.63449692,1
67,0,1,1,19.745379877,1
58,18,0,1,6.9541409993,0
64,13,0,1,11.274469541,1
59,9,1,0,6.340862423,0
60,20,0,1,7.8548939083,1
59,15,0,1,6.250513347,1
59,0,0,1,11.592060233,1
58,12,0,1,5.7960301164,0
59,15,0,0,11.137577002,1
55,6,0,0,5.6372347707,1
56,0,0,0,17.497604381,1
61,20,0,1,17.196440794,1
57,11,0,1,12.484599589,1
57,10,0,0,7.0527036277,1
54,7,0,0,9.6810403833,0
58,15,0,1,5.8069815195,1
54,12,1,1,10.447638604,1
55,9,0,1,6.9760438056,1
54,8,0,1,6.5215605749,1
52,7,1,0,7.9370294319,1
69,6,0,0,10.135523614,0
50,0,0,0,13.84257358,1
79,5,0,1,7.6167008898,1
67,22,0,1,9.1800136893,1
77,11,0,1,6.3764544832,1
82,0,0,1,13.295003422,1
72,13,0,0,6.4010951403,1
71,0,0,1,9.7768651608,1
75,0,0,1,18.54072553,1
54,9,0,1,6.5160848734,1
50,0,0,1,11.8275154,0
57,15,0,1,7.8412046543,1
52,0,0,1,8.8788501027,1
53,0,0,0,16.55578371,1
49,0,0,1,14.620123203,0
53,0,0,0,10.524298426,1
54,3,0,0,7.4332648871,1
50,0,0,1,18.138261465,1
53,9,0,0,5.9356605065,1
46,0,0,1,10.680355921,1
52,10,0,1,9.6755646817,1
45,0,1,1,11.822039699,0
44,8,0,1,7.4798083504,0
48,9,0,1,7.9151266256,1
49,10,0,1,6.1026694045,1
48,6,0,0,5.826146475,1
47,8,1,0,6.9924709103,1
43,4,0,0,5.196440794,1
80,0,0,1,17.04312115,1
85,24,0,1,23.112936345,1
82,5,0,1,7.5728952772,1
78,5,0,0,7.2854209446,1
84,10,0,1,19.397672827,1
78,14,0,1,8.4188911704,0
73,2,0,1,18.924024641,0
72,8,0,1,5.9986310746,1
76,13,0,1,10.447638604,1
81,0,0,1,17.897330595,1
58,11,0,1,15.310061602,1
79,18,0,1,16.66255989,1
81,13,0,1,5.6700889802,1
81,19,0,1,7.7289527721,1
85,11,0,1,15.597535934,1
80,11,0,1,9.5633127995,1
78,3,0,1,5.3853524983,0
78,11,0,0,9.2785763176,1
65,10,0,1,6.0533880903,1
68,7,0,1,7.7262149213,0
72,6,0,1,6.6447638604,1
73,6,1,1,5.8370978782,1
69,8,0,1,6.2724161533,0
73,0,1,0,9.5906913073,1
63,14,0,0,6.5160848734,1
66,8,1,1,8.0164271047,1
63,9,0,1,13.776865161,0
61,7,0,0,18.833675565,1
57,17,0,1,5.4236824093,1
55,16,0,0,9.3196440794,1
51,0,1,0,11.430527036,0
53,13,0,1,6.2176591376,0
82,0,0,1,17.976728268,1
41,14,0,0,7.40862423,1
76,4,0,1,5.6153319644,1
79,20,0,1,18.710472279,1
67,12,0,1,6.5681040383,0
69,9,0,1,7.8165639973,1
65,0,0,0,11.085557837,0
65,6,0,0,8.3148528405,0
67,16,0,1,24.531143053,1
61,4,0,0,6.7460643395,0
39,6,0,0,6.9158110883,1
42,12,0,0,8.4161533196,1
36,6,0,1,9.3169062286,0
77,10,0,1,8.8076659822,1
79,7,0,0,5.6728268309,1
76,20,0,1,5.9986310746,1
84,10,0,1,5.0403832991,0
80,0,0,1,16.235455168,1
80,0,0,0,12.427104723,1
77,12,0,1,11.649555099,1
74,2,0,1,6.2094455852,0
77,9,0,1,8.334017796,1
76,13,0,1,5.1170431211,1
75,0,0,1,19.726214921,1
72,13,0,1,8.9719370294,1
66,3,0,1,6.1711156742,0
80,9,0,1,9.5222450376,1
70,10,0,1,7.5126625599,1
67,0,0,0,18.518822724,0
70,6,0,1,9.8836413415,0
70,9,0,1,5.9876796715,1
68,9,0,1,7.1731690623,1
69,0,1,1,13.527720739,1
70,0,0,1,18.858316222,1
67,0,0,0,21.793292266,1
67,4,0,0,6.9431895962,1
65,11,1,1,7.6824093087,1
63,4,1,1,7.0308008214,1
64,8,0,1,15.159479808,1
60,0,0,1,16.692676249,0
60,14,0,1,5.9986310746,1
66,0,0,1,9.1854893908,1
55,11,0,0,7.7618069815,0
62,9,0,1,7.8357289528,1
54,0,0,1,8.977412731,0
82,0,0,0,10.042436687,0
85,0,1,1,15.351129363,1
74,7,0,1,7.0308008214,1
76,7,0,1,10.600958248,0
85,9,0,1,7.4633812457,1
57,22,0,1,6.5544147844,1
77,0,0,1,18.636550308,1
68,0,0,1,15.685147159,1
72,0,0,1,16.804928131,1
66,6,0,1,5.7221081451,0
74,17,0,1,7.5947980835,1
78,0,1,1,16.309377139,1
61,9,0,0,10.978781656,0
64,11,1,1,9.234770705,1
60,6,0,1,9.6810403833,0
68,12,0,1,8.4216290212,1
