Age_client,Age_car,Driver2,Payment_annual,Client_seniority
84,13,0,0,16.963723477
83,0,0,1,16.796714579
85,0,0,1,20.484599589
79,8,0,0,6.6064339493
79,10,0,1,7.9206023272
82,6,0,1,9.029431896
75,0,0,1,9.5906913073
77,10,0,1,20.046543463
82,13,0,1,12.807665982
70,9,0,1,6.4394250513
80,0,0,0,22.926762491
73,0,0,1,11.4770705
81,10,0,0,8.9144421629
77,26,0,1,5.5085557837
75,11,0,0,17.831622177
75,14,0,1,7.9342915811
72,22,0,1,6.688569473
69,3,0,1,6.5763175907
74,7,0,1,5.8672142368
61,3,0,0,10.836413415
59,12,0,1,6.2258726899
57,9,0,1,5.5852156057
65,10,0,1,5.607118412
80,0,0,1,15.504449008
75,17,0,1,5.9082819986
69,11,0,1,7.2635181383
65,8,0,0,7.8001368925
48,10,0,0,5.5906913073
52,9,0,0,7.7316906229
47,6,0,0,8.4024640657
85,0,0,1,18.773442847
84,11,0,0,13.549623546
77,0,0,1,21.456536619
71,0,0,1,10.439425051
77,13,0,1,6.0506502396
73,0,1,0,17.954825462
76,8,0,1,6.7542778919
83,0,0,0,12.262833676
82,0,0,1,15.613963039
67,11,0,1,9.8562628337
63,11,0,1,9.3607118412
66,16,0,0,9.711156742
63,0,0,0,15.181382615
59,9,0,0,17.363449692
53,9,0,0,7.8384668036
59,0,0,1,16.769336071
54,14,0,0,10.874743326
55,3,0,0,7.8247775496
55,16,1,1,6.3983572895
83,0,0,1,23.51266256
74,14,0,1,18.088980151
53,8,0,0,6.0369609856
54,6,0,1,7.8658453114
59,6,0,0,5.9575633128
54,9,0,1,7.2854209446
47,10,0,1,10.833675565
48,3,0,1,6.1026694045
47,10,0,1,7.5290896646
81,0,0,1,12.76659822
65,4,0,0,5.5852156057
56,6,0,0,7.3757700205
56,11,0,0,17.618069815
78,0,0,1,13.28678987
63,14,0,1,8.9171800137
54,10,1,0,5.6810403833
89,10,0,1,6.4503764545
75,0,1,0,13.245722108
77,0,1,1,12.780287474
76,13,1,1,7.8056125941
79,9,0,0,7.4277891855
70,9,0,0,10.874743326
75,0,0,1,10.71321013
73,9,0,1,7.6440793977
59,0,0,1,19.54825462
59,0,0,1,8.3969883641
61,6,0,1,6.4229979466
76,0,0,0,15.405886379
64,0,1,1,8.6461327858
65,7,1,1,6.045174538
76,7,0,1,5.5742642026
64,8,0,0,9.9247091034
81,0,0,1,14.603696099
85,21,0,1,6.3080082136
71,0,0,1,16.309377139
59,3,0,1,6.5489390828
54,6,1,0,7.665982204
83,0,0,1,9.1526351814
57,0,0,1,11.266255989
78,14,0,1,5.7823408624
79,11,0,1,5.273100616
72,5,0,1,7.3976728268
66,0,0,1,8.7282683094
69,0,0,0,24.167008898
63,11,0,0,9.9438740589
57,8,0,1,6.5023956194
60,24,0,1,7.6440793977
54,1,1,1,6.4750171116
78,0,0,1,20.796714579
65,10,0,1,9.9411362081
68,11,0,1,7.2854209446
60,10,0,1,7.9425051335
59,9,0,0,6.4421629021
61,8,1,0,7.8165639973
53,9,0,1,7.1567419576
49,11,0,0,9.8069815195
49,16,0,0,6.8501026694
73,0,0,1,16.83504449
61,0,0,1,12.440793977
59,0,0,1,11.151266256
60,7,0,1,18.502395619
51,0,0,0,12.605065024
80,0,0,1,17.716632444
55,5,0,1,6.4668035592
77,9,0,0,7.3292265572
50,5,0,1,6.0533880903
76,11,0,1,9.6755646817
62,0,0,0,13.837097878
52,9,0,1,6.598220397
75,0,0,1,14.075290897
46,7,0,1,6.2368240931
35,7,0,1,6.6639288159
85,15,0,1,8.9911019849
85,16,0,1,23.148528405
75,0,0,1,14.762491444
74,10,0,1,8.372347707
67,0,1,1,19.490759754
67,11,1,1,10.031485284
61,6,0,0,9.9082819986
62,0,0,0,12.41615332
55,0,1,0,13.393566051
62,8,0,1,7.6386036961
60,16,0,0,8.0109514031
60,8,0,0,7.5154004107
55,20,1,0,19.449691992
51,7,0,1,8.0355920602
52,8,1,1,10.308008214
50,16,0,0,17.262149213
52,0,0,1,12.1724846
47,0,0,1,8.8158795346
51,7,1,0,7.8603696099
46,2,0,0,10.368240931
44,6,0,0,8.1122518823
39,4,0,1,8.0164271047
46,11,0,0,7.5400410678
44,6,0,0,5.0239561944
43,13,0,1,7.5099247091
46,13,0,0,11.655030801
34,11,0,0,7.5975359343
85,0,0,0,18.825462012
72,0,0,1,26.368240931
71,4,0,1,5.6317590691
72,0,0,1,18.784394251
69,18,0,1,5.916495551
67,9,1,1,11.592060233
77,0,0,1,16.87063655
66,0,0,1,17.541409993
66,0,0,0,10.787132101
63,16,0,1,5.9520876112
58,6,0,1,8.2245037645
60,9,0,1,8.8952772074
65,0,0,1,16.432580424
58,7,0,0,10.962354552
74,26,0,1,12.153319644
66,7,0,1,10.097193703
55,13,0,1,7.8439425051
59,12,0,1,10.412046543
56,16,0,1,7.1375770021
54,7,0,1,9.8343600274
53,9,0,1,8.0793976728
56,9,0,1,5.5660506502
50,21,1,1,7.65229295
50,0,0,0,13.051334702
52,16,0,1,7.6577686516
52,8,0,1,7.0499657769
50,11,0,1,7.5619438741
46,6,0,1,7.3292265572
48,8,0,1,9.582477755
46,9,0,0,10.576317591
44,19,0,1,7.3976728268
38,7,0,0,6.3737166324
42,12,0,1,7.7453798768
39,2,0,1,6.5790554415
41,8,0,1,6.1382614648
36,10,0,1,5.9192334018
